date	ohio tiktok	isPartial
2019-01-06	0	False
2019-01-13	0	False
2019-01-20	0	False
2019-01-27	0	False
2019-02-03	0	False
2019-02-10	0	False
2019-02-17	0	False
2019-02-24	6	False
2019-03-03	0	False
2019-03-10	0	False
2019-03-17	0	False
2019-03-24	0	False
2019-03-31	0	False
2019-04-07	0	False
2019-04-14	2	False
2019-04-21	0	False
2019-04-28	0	False
2019-05-05	0	False
2019-05-12	0	False
2019-05-19	0	False
2019-05-26	0	False
2019-06-02	0	False
2019-06-09	7	False
2019-06-16	0	False
2019-06-23	0	False
2019-06-30	0	False
2019-07-07	0	False
2019-07-14	0	False
2019-07-21	5	False
2019-07-28	0	False
2019-08-04	0	False
2019-08-11	9	False
2019-08-18	7	False
2019-08-25	2	False
2019-09-01	3	False
2019-09-08	7	False
2019-09-15	5	False
2019-09-22	5	False
2019-09-29	3	False
2019-10-06	0	False
2019-10-13	0	False
2019-10-20	8	False
2019-10-27	2	False
2019-11-03	4	False
2019-11-10	8	False
2019-11-17	3	False
2019-11-24	6	False
2019-12-01	0	False
2019-12-08	8	False
2019-12-15	7	False
2019-12-22	7	False
2019-12-29	13	False
2020-01-05	7	False
2020-01-12	10	False
2020-01-19	9	False
2020-01-26	13	False
2020-02-02	12	False
2020-02-09	9	False
2020-02-16	9	False
2020-02-23	11	False
2020-03-01	11	False
2020-03-08	11	False
2020-03-15	15	False
2020-03-22	13	False
2020-03-29	12	False
2020-04-05	15	False
2020-04-12	11	False
2020-04-19	22	False
2020-04-26	17	False
2020-05-03	10	False
2020-05-10	16	False
2020-05-17	19	False
2020-05-24	34	False
2020-05-31	25	False
2020-06-07	13	False
2020-06-14	15	False
2020-06-21	33	False
2020-06-28	22	False
2020-07-05	51	False
2020-07-12	16	False
2020-07-19	17	False
2020-07-26	35	False
2020-08-02	43	False
2020-08-09	18	False
2020-08-16	21	False
2020-08-23	21	False
2020-08-30	21	False
2020-09-06	20	False
2020-09-13	29	False
2020-09-20	27	False
2020-09-27	15	False
2020-10-04	15	False
2020-10-11	11	False
2020-10-18	17	False
2020-10-25	14	False
2020-11-01	18	False
2020-11-08	12	False
2020-11-15	16	False
2020-11-22	13	False
2020-11-29	17	False
2020-12-06	13	False
2020-12-13	13	False
2020-12-20	15	False
2020-12-27	24	False
2021-01-03	19	False
2021-01-10	24	False
2021-01-17	21	False
2021-01-24	22	False
2021-01-31	18	False
2021-02-07	12	False
2021-02-14	16	False
2021-02-21	17	False
2021-02-28	24	False
2021-03-07	16	False
2021-03-14	24	False
2021-03-21	23	False
2021-03-28	17	False
2021-04-04	18	False
2021-04-11	21	False
2021-04-18	24	False
2021-04-25	15	False
2021-05-02	0	False
2021-05-09	25	False
2021-05-16	19	False
2021-05-23	0	False
2021-05-30	28	False
2021-06-06	23	False
2021-06-13	0	False
2021-06-20	13	False
2021-06-27	23	False
2021-07-04	19	False
2021-07-11	22	False
2021-07-18	0	False
2021-07-25	0	False
2021-08-01	17	False
2021-08-08	30	False
2021-08-15	22	False
2021-08-22	29	False
2021-08-29	0	False
2021-09-05	0	False
2021-09-12	0	False
2021-09-19	26	False
2021-09-26	0	False
2021-10-03	0	False
2021-10-10	25	False
2021-10-17	0	False
2021-10-24	29	False
2021-10-31	0	False
2021-11-07	21	False
2021-11-14	27	False
2021-11-21	36	False
2021-11-28	29	False
2021-12-05	30	False
2021-12-12	0	False
2021-12-19	0	False
2021-12-26	30	False
2022-01-02	28	False
2022-01-09	25	False
2022-01-16	33	False
2022-01-23	16	False
2022-01-30	32	False
2022-02-06	30	False
2022-02-13	17	False
2022-02-20	22	False
2022-02-27	20	False
2022-03-06	20	False
2022-03-13	21	False
2022-03-20	20	False
2022-03-27	24	False
2022-04-03	0	False
2022-04-10	27	False
2022-04-17	23	False
2022-04-24	0	False
2022-05-01	0	False
2022-05-08	25	False
2022-05-15	0	False
2022-05-22	19	False
2022-05-29	0	False
2022-06-05	0	False
2022-06-12	25	False
2022-06-19	0	False
2022-06-26	29	False
2022-07-03	0	False
2022-07-10	29	False
2022-07-17	0	False
2022-07-24	27	False
2022-07-31	0	False
2022-08-07	0	False
2022-08-14	29	False
2022-08-21	30	False
2022-08-28	25	False
2022-09-04	0	False
2022-09-11	27	False
2022-09-18	36	False
2022-09-25	43	False
2022-10-02	56	False
2022-10-09	0	False
2022-10-16	45	False
2022-10-23	61	False
2022-10-30	73	False
2022-11-06	0	False
2022-11-13	81	False
2022-11-20	0	False
2022-11-27	88	False
2022-12-04	100	False
2022-12-11	88	False
2022-12-18	0	False
2022-12-25	74	False
2023-01-01	84	False
2023-01-08	85	False
2023-01-15	72	False
2023-01-22	0	False
2023-01-29	61	False
2023-02-05	66	False
2023-02-12	0	False
2023-02-19	69	False
2023-02-26	0	False
2023-03-05	0	False
2023-03-12	0	False
2023-03-19	59	False
2023-03-26	0	False
2023-04-02	35	False
2023-04-09	0	False
2023-04-16	59	False
2023-04-23	0	False
2023-04-30	0	False
2023-05-07	36	False
2023-05-14	0	False
2023-05-21	43	False
2023-05-28	0	False
2023-06-04	0	False
2023-06-11	22	False
2023-06-18	0	False
2023-06-25	32	False
2023-07-02	0	False
2023-07-09	43	False
2023-07-16	0	False
2023-07-23	0	False
2023-07-30	24	False
2023-08-06	33	False
2023-08-13	24	False
2023-08-20	28	False
2023-08-27	33	False
2023-09-03	31	False
2023-09-10	32	False
2023-09-17	32	False
2023-09-24	33	False
2023-10-01	39	False
2023-10-08	0	False
2023-10-15	0	False
2023-10-22	24	False
2023-10-29	0	False
