date	does he know	isPartial
2019-01-06	30	False
2019-01-13	30	False
2019-01-20	28	False
2019-01-27	36	False
2019-02-03	33	False
2019-02-10	39	False
2019-02-17	34	False
2019-02-24	38	False
2019-03-03	40	False
2019-03-10	36	False
2019-03-17	34	False
2019-03-24	38	False
2019-03-31	37	False
2019-04-07	37	False
2019-04-14	32	False
2019-04-21	35	False
2019-04-28	38	False
2019-05-05	37	False
2019-05-12	35	False
2019-05-19	34	False
2019-05-26	30	False
2019-06-02	27	False
2019-06-09	26	False
2019-06-16	30	False
2019-06-23	24	False
2019-06-30	21	False
2019-07-07	29	False
2019-07-14	23	False
2019-07-21	24	False
2019-07-28	23	False
2019-08-04	23	False
2019-08-11	24	False
2019-08-18	30	False
2019-08-25	28	False
2019-09-01	28	False
2019-09-08	33	False
2019-09-15	34	False
2019-09-22	35	False
2019-09-29	30	False
2019-10-06	37	False
2019-10-13	29	False
2019-10-20	35	False
2019-10-27	35	False
2019-11-03	34	False
2019-11-10	35	False
2019-11-17	38	False
2019-11-24	28	False
2019-12-01	38	False
2019-12-08	39	False
2019-12-15	33	False
2019-12-22	21	False
2019-12-29	27	False
2020-01-05	33	False
2020-01-12	36	False
2020-01-19	34	False
2020-01-26	35	False
2020-02-02	41	False
2020-02-09	38	False
2020-02-16	42	False
2020-02-23	41	False
2020-03-01	40	False
2020-03-08	37	False
2020-03-15	35	False
2020-03-22	40	False
2020-03-29	46	False
2020-04-05	50	False
2020-04-12	56	False
2020-04-19	62	False
2020-04-26	60	False
2020-05-03	57	False
2020-05-10	58	False
2020-05-17	50	False
2020-05-24	42	False
2020-05-31	41	False
2020-06-07	40	False
2020-06-14	39	False
2020-06-21	36	False
2020-06-28	33	False
2020-07-05	37	False
2020-07-12	31	False
2020-07-19	38	False
2020-07-26	35	False
2020-08-02	33	False
2020-08-09	33	False
2020-08-16	36	False
2020-08-23	37	False
2020-08-30	42	False
2020-09-06	45	False
2020-09-13	59	False
2020-09-20	61	False
2020-09-27	57	False
2020-10-04	60	False
2020-10-11	54	False
2020-10-18	52	False
2020-10-25	50	False
2020-11-01	52	False
2020-11-08	56	False
2020-11-15	56	False
2020-11-22	41	False
2020-11-29	61	False
2020-12-06	61	False
2020-12-13	54	False
2020-12-20	34	False
2020-12-27	34	False
2021-01-03	45	False
2021-01-10	47	False
2021-01-17	51	False
2021-01-24	50	False
2021-01-31	57	False
2021-02-07	50	False
2021-02-14	48	False
2021-02-21	53	False
2021-02-28	62	False
2021-03-07	60	False
2021-03-14	57	False
2021-03-21	53	False
2021-03-28	48	False
2021-04-04	48	False
2021-04-11	53	False
2021-04-18	54	False
2021-04-25	58	False
2021-05-02	52	False
2021-05-09	51	False
2021-05-16	48	False
2021-05-23	46	False
2021-05-30	49	False
2021-06-06	49	False
2021-06-13	41	False
2021-06-20	44	False
2021-06-27	39	False
2021-07-04	37	False
2021-07-11	41	False
2021-07-18	39	False
2021-07-25	40	False
2021-08-01	40	False
2021-08-08	39	False
2021-08-15	41	False
2021-08-22	46	False
2021-08-29	44	False
2021-09-05	47	False
2021-09-12	53	False
2021-09-19	62	False
2021-09-26	56	False
2021-10-03	63	False
2021-10-10	54	False
2021-10-17	58	False
2021-10-24	64	False
2021-10-31	53	False
2021-11-07	54	False
2021-11-14	54	False
2021-11-21	46	False
2021-11-28	61	False
2021-12-05	65	False
2021-12-12	61	False
2021-12-19	39	False
2021-12-26	36	False
2022-01-02	52	False
2022-01-09	56	False
2022-01-16	62	False
2022-01-23	65	False
2022-01-30	69	False
2022-02-06	72	False
2022-02-13	76	False
2022-02-20	75	False
2022-02-27	77	False
2022-03-06	75	False
2022-03-13	71	False
2022-03-20	72	False
2022-03-27	78	False
2022-04-03	81	False
2022-04-10	74	False
2022-04-17	81	False
2022-04-24	85	False
2022-05-01	74	False
2022-05-08	76	False
2022-05-15	75	False
2022-05-22	71	False
2022-05-29	60	False
2022-06-05	61	False
2022-06-12	61	False
2022-06-19	57	False
2022-06-26	50	False
2022-07-03	54	False
2022-07-10	48	False
2022-07-17	53	False
2022-07-24	52	False
2022-07-31	47	False
2022-08-07	44	False
2022-08-14	56	False
2022-08-21	58	False
2022-08-28	66	False
2022-09-04	65	False
2022-09-11	76	False
2022-09-18	86	False
2022-09-25	79	False
2022-10-02	80	False
2022-10-09	78	False
2022-10-16	86	False
2022-10-23	84	False
2022-10-30	85	False
2022-11-06	81	False
2022-11-13	94	False
2022-11-20	65	False
2022-11-27	82	False
2022-12-04	95	False
2022-12-11	89	False
2022-12-18	65	False
2022-12-25	52	False
2023-01-01	63	False
2023-01-08	79	False
2023-01-15	80	False
2023-01-22	80	False
2023-01-29	88	False
2023-02-05	90	False
2023-02-12	87	False
2023-02-19	100	False
2023-02-26	94	False
2023-03-05	92	False
2023-03-12	80	False
2023-03-19	79	False
2023-03-26	83	False
2023-04-02	78	False
2023-04-09	83	False
2023-04-16	92	False
2023-04-23	92	False
2023-04-30	90	False
2023-05-07	90	False
2023-05-14	80	False
2023-05-21	78	False
2023-05-28	67	False
2023-06-04	73	False
2023-06-11	68	False
2023-06-18	61	False
2023-06-25	61	False
2023-07-02	57	False
2023-07-09	56	False
2023-07-16	60	False
2023-07-23	57	False
2023-07-30	52	False
2023-08-06	54	False
2023-08-13	58	False
2023-08-20	63	False
2023-08-27	75	False
2023-09-03	75	False
2023-09-10	76	False
2023-09-17	82	False
2023-09-24	77	False
2023-10-01	89	False
2023-10-08	79	False
2023-10-15	84	False
2023-10-22	86	False
2023-10-29	81	False
