date	ghost eyes	isPartial
2019-01-06	28	False
2019-01-13	24	False
2019-01-20	32	False
2019-01-27	32	False
2019-02-03	23	False
2019-02-10	32	False
2019-02-17	26	False
2019-02-24	22	False
2019-03-03	25	False
2019-03-10	22	False
2019-03-17	28	False
2019-03-24	27	False
2019-03-31	26	False
2019-04-07	23	False
2019-04-14	26	False
2019-04-21	31	False
2019-04-28	39	False
2019-05-05	30	False
2019-05-12	25	False
2019-05-19	22	False
2019-05-26	24	False
2019-06-02	26	False
2019-06-09	29	False
2019-06-16	28	False
2019-06-23	26	False
2019-06-30	28	False
2019-07-07	24	False
2019-07-14	27	False
2019-07-21	29	False
2019-07-28	27	False
2019-08-04	30	False
2019-08-11	29	False
2019-08-18	33	False
2019-08-25	27	False
2019-09-01	29	False
2019-09-08	32	False
2019-09-15	29	False
2019-09-22	28	False
2019-09-29	39	False
2019-10-06	37	False
2019-10-13	38	False
2019-10-20	54	False
2019-10-27	54	False
2019-11-03	27	False
2019-11-10	27	False
2019-11-17	29	False
2019-11-24	21	False
2019-12-01	28	False
2019-12-08	30	False
2019-12-15	22	False
2019-12-22	36	False
2019-12-29	32	False
2020-01-05	32	False
2020-01-12	19	False
2020-01-19	25	False
2020-01-26	28	False
2020-02-02	28	False
2020-02-09	31	False
2020-02-16	31	False
2020-02-23	33	False
2020-03-01	33	False
2020-03-08	33	False
2020-03-15	32	False
2020-03-22	39	False
2020-03-29	39	False
2020-04-05	39	False
2020-04-12	45	False
2020-04-19	39	False
2020-04-26	45	False
2020-05-03	41	False
2020-05-10	34	False
2020-05-17	45	False
2020-05-24	34	False
2020-05-31	32	False
2020-06-07	35	False
2020-06-14	30	False
2020-06-21	30	False
2020-06-28	32	False
2020-07-05	33	False
2020-07-12	45	False
2020-07-19	46	False
2020-07-26	37	False
2020-08-02	33	False
2020-08-09	35	False
2020-08-16	33	False
2020-08-23	35	False
2020-08-30	35	False
2020-09-06	38	False
2020-09-13	38	False
2020-09-20	43	False
2020-09-27	34	False
2020-10-04	47	False
2020-10-11	43	False
2020-10-18	47	False
2020-10-25	64	False
2020-11-01	37	False
2020-11-08	36	False
2020-11-15	31	False
2020-11-22	30	False
2020-11-29	30	False
2020-12-06	31	False
2020-12-13	34	False
2020-12-20	32	False
2020-12-27	41	False
2021-01-03	30	False
2021-01-10	32	False
2021-01-17	37	False
2021-01-24	36	False
2021-01-31	33	False
2021-02-07	40	False
2021-02-14	39	False
2021-02-21	39	False
2021-02-28	41	False
2021-03-07	32	False
2021-03-14	28	False
2021-03-21	34	False
2021-03-28	28	False
2021-04-04	35	False
2021-04-11	42	False
2021-04-18	42	False
2021-04-25	37	False
2021-05-02	36	False
2021-05-09	38	False
2021-05-16	30	False
2021-05-23	37	False
2021-05-30	39	False
2021-06-06	34	False
2021-06-13	31	False
2021-06-20	36	False
2021-06-27	32	False
2021-07-04	40	False
2021-07-11	39	False
2021-07-18	40	False
2021-07-25	38	False
2021-08-01	34	False
2021-08-08	38	False
2021-08-15	38	False
2021-08-22	32	False
2021-08-29	34	False
2021-09-05	38	False
2021-09-12	30	False
2021-09-19	33	False
2021-09-26	37	False
2021-10-03	39	False
2021-10-10	45	False
2021-10-17	45	False
2021-10-24	62	False
2021-10-31	35	False
2021-11-07	29	False
2021-11-14	29	False
2021-11-21	24	False
2021-11-28	33	False
2021-12-05	31	False
2021-12-12	33	False
2021-12-19	52	False
2021-12-26	34	False
2022-01-02	42	False
2022-01-09	38	False
2022-01-16	31	False
2022-01-23	43	False
2022-01-30	37	False
2022-02-06	36	False
2022-02-13	39	False
2022-02-20	46	False
2022-02-27	46	False
2022-03-06	37	False
2022-03-13	39	False
2022-03-20	38	False
2022-03-27	33	False
2022-04-03	37	False
2022-04-10	38	False
2022-04-17	43	False
2022-04-24	41	False
2022-05-01	53	False
2022-05-08	53	False
2022-05-15	47	False
2022-05-22	43	False
2022-05-29	47	False
2022-06-05	37	False
2022-06-12	36	False
2022-06-19	35	False
2022-06-26	37	False
2022-07-03	42	False
2022-07-10	44	False
2022-07-17	39	False
2022-07-24	38	False
2022-07-31	38	False
2022-08-07	39	False
2022-08-14	40	False
2022-08-21	32	False
2022-08-28	48	False
2022-09-04	37	False
2022-09-11	41	False
2022-09-18	53	False
2022-09-25	47	False
2022-10-02	54	False
2022-10-09	55	False
2022-10-16	60	False
2022-10-23	73	False
2022-10-30	66	False
2022-11-06	39	False
2022-11-13	44	False
2022-11-20	43	False
2022-11-27	37	False
2022-12-04	45	False
2022-12-11	38	False
2022-12-18	40	False
2022-12-25	49	False
2023-01-01	47	False
2023-01-08	46	False
2023-01-15	45	False
2023-01-22	48	False
2023-01-29	39	False
2023-02-05	35	False
2023-02-12	38	False
2023-02-19	46	False
2023-02-26	43	False
2023-03-05	36	False
2023-03-12	34	False
2023-03-19	35	False
2023-03-26	43	False
2023-04-02	41	False
2023-04-09	37	False
2023-04-16	42	False
2023-04-23	41	False
2023-04-30	42	False
2023-05-07	45	False
2023-05-14	49	False
2023-05-21	45	False
2023-05-28	43	False
2023-06-04	37	False
2023-06-11	40	False
2023-06-18	32	False
2023-06-25	40	False
2023-07-02	42	False
2023-07-09	38	False
2023-07-16	33	False
2023-07-23	42	False
2023-07-30	43	False
2023-08-06	42	False
2023-08-13	41	False
2023-08-20	45	False
2023-08-27	40	False
2023-09-03	36	False
2023-09-10	41	False
2023-09-17	44	False
2023-09-24	55	False
2023-10-01	64	False
2023-10-08	61	False
2023-10-15	67	False
2023-10-22	100	False
2023-10-29	85	False
